模块,数据项,climbing.md声明来源,climbing.md声明方法,实际可用性,实际可用来源,实际可用API,备注
追踪分析系统,分析师评级变动,同花顺 iFind / Web搜索,web_search,✅ 可用,yahoo_finance, get_recommendations,Yahoo Finance 提供 recommendations/upgrades_downgrades
追踪分析系统,ESG评分,Web搜索 / MSCI/万得,web_search,⚠️ 间接可用,WebSearch,WebSearch,无直接ESG API
追踪分析系统,专利数据,Web搜索 / 国家知识产权局,web_search,⚠️ 间接可用,WebSearch,WebSearch,无直接专利API；天眼查可查询企业知识产权
追踪分析系统,供应链动态,Web搜索,web_search,⚠️ 间接可用,WebSearch,WebSearch,无直接API
交易计划系统,持仓成本/数量/交易记录/可用资金/风险承受度,用户手动输入 / 券商API,用户截图/Excel导入,❌ 不可用,-,-,需用户本地输入或接入券商API，当前环境无此能力
交易计划系统,买卖五档盘口,同花顺L2 / iFind,iFind高级权限,❌ 不可用,-,-,当前无L2/高级行情权限
交易计划系统,订单流/逐笔成交,交易所Level 2,需付费数据源,❌ 不可用,-,-,当前无Level 2数据
交易计划系统,暗池交易/13F,美股特有 / SEC,sec_edgar,❌ 不可用,-,-,SEC EDGAR 数据源未在当前环境列出
交易计划系统,期权链/隐含波动率,Web搜索 / 交易所,web_search,⚠️ 部分可用,yahoo_finance,get_option_expiration_dates/get_option_chain,仅美股期权链可用；A股权需 WebSearch
交易计划系统,Beta/相关系数/VaR/最大回撤/夏普比率/行业集中度,Python计算,ipython计算,✅ 可计算,Python（本地）,pandas/numpy,基于持仓+价格数据计算
学术/企业数据,学术论文,arXiv / Scholar,arxiv / scholar API,✅ 可用,arxiv / scholar,search_papers / scholar_search,可检索相关论文
学术/企业数据,企业工商/司法/知识产权/关联图谱,天眼查,tianyancha API,✅ 可用,tianyancha,tianyancha_api_call,支持226个API；需先搜索API名称
